,name,objid,date,ra,dec,dist,type,subtype,mapp,mabs,importance
3,APRIZESAT 1,2004-025G,2004-01-01,356.4311773112599,-0.1073456894164522,4.727170056857751e-05,Satellite,communication,25.0,25.0,0
3,COSMOS 2251 DEB,1993-036G,1993-01-01,309.60990660967593,-1.0050098575443343,4.7459691028261516e-05,Satellite,debris,25.0,25.0,0
3,COSMOS 2398 [-],2003-023A,2003-01-01,247.68329044964884,-1.3008785302836647,4.934044757682852e-05,Satellite,navigation,25.0,25.0,0
3,COSMOS 2432 (719),2007-052B,2007-01-01,162.4314962984072,0.3648938726235187,0.0001707133516635959,Satellite,navigation,25.0,25.0,0
3,CUBESAT XI-IV (CO-57),2003-031J,2003-01-01,140.09140789913846,1.1307848274635561,4.814878021546865e-05,Satellite,scientific,25.0,25.0,0
3,CUTE-1.7+APD II (CO-65),2008-021C,2008-01-01,204.8268852298488,-0.6817050780408478,4.673495700068428e-05,Satellite,cubesat,25.0,25.0,0
3,FENGYUN 1C DEB,1999-025Z,1999-01-01,36.493963829561366,1.0008778553022921,4.861799051372034e-05,Satellite,debris,25.0,25.0,0
3,FLOCK 2E-1,1998-067HZ,1998-01-01,340.35290418501415,-0.3460226826880154,4.4633120278686666e-05,Satellite,station,25.0,25.0,0
3,GLOBALSTAR M003 [-],1998-008D,1998-01-01,236.78948757653436,-0.7579912471840323,5.3537410646454584e-05,Satellite,communication,25.0,25.0,0
3,GOES 4 [-],1980-074A,1980-01-01,7.197574460809055,0.005925523368925247,0.0002828151517047262,Satellite,monitoring,25.0,25.0,0
3,GORIZONT 4 [-],1980-049A,1980-01-01,63.83816859261789,0.201814047930655,0.0002848641188615067,Satellite,communication,25.0,25.0,0
3,GPS BIIR-5  (PRN 28),2000-040A,2000-01-01,298.999515463323,-0.9073313234950977,0.0001763628690215579,Satellite,navigation,25.0,25.0,0
3,INTELSAT 5 (IS-5),1997-046A,1997-01-01,105.87620128129169,0.06806664364995456,0.00028186786505526347,Satellite,communication,25.0,25.0,0
3,IRIDIUM 33 DEB,1997-051N,1997-01-01,192.72209435804325,-0.2530134773118587,4.789616993091712e-05,Satellite,debris,25.0,25.0,0
3,IRIDIUM 914 [-],1997-030A,1997-01-01,274.37481527105683,-1.5078035584462672,4.7731977561357926e-05,Satellite,communication,25.0,25.0,0
3,ITAMSAT (IO-26),1993-061D,1993-01-01,282.6212710964911,-1.686588447297431,4.791516607811832e-05,Satellite,communication,25.0,25.0,0
3,LAGEOS 2,1992-070B,1992-01-01,103.71029144291603,0.8948405846793634,8.143838304909971e-05,Satellite,scientific,25.0,25.0,0
3,LANDSAT 7,1999-020A,1999-01-01,323.59225970566365,-1.0690923435065491,4.7326439345427756e-05,Satellite,monitoring,25.0,25.0,0
3,MOLNIYA 1-29,1975-036A,1975-01-01,45.8308839503887,0.7518957764275027,5.0440455392863737e-05,Satellite,communication,25.0,25.0,0
3,NNSS 19 [?],1970-067A,1970-01-01,235.4068898833782,-1.2168076873253817,5.0364915489350446e-05,Satellite,navigation,25.0,25.0,0
3,NOAA 4 [-],1974-089A,1974-01-01,174.57528109787202,0.17980855227100348,5.2382132565911584e-05,Satellite,monitoring,25.0,25.0,0
3,ORBCOMM FM08 [+],1997-084A,1997-01-01,269.4650168867399,-0.7848444251196784,4.773709865614505e-05,Satellite,communication,25.0,25.0,0
3,RADUGA 4 [-],1978-073A,1978-01-01,64.62803959492375,0.17637549170082464,0.0002815595732584927,Satellite,communication,25.0,25.0,0
3,SL-8 R/B,1967-045B,1967-01-01,199.0684167733095,-0.3991876253443604,4.7921804951096945e-05,Satellite,visual,25.0,25.0,0
3,SPIRALE B,2009-008D,2009-01-01,217.73855416427233,-0.018247322800376577,0.00019252013630117876,Satellite,military,25.0,25.0,0
3,SWAS,1998-071A,1998-01-01,149.91427901447364,0.7213996518406093,4.658890026826297e-05,Satellite,scientific,25.0,25.0,0
3,TDRS 6,1993-003B,1993-01-01,315.5333131905331,-0.1731307763509238,0.0002816983615777722,Satellite,monitoring,25.0,25.0,0
3,TEMPSAT 1,1965-065E,1965-01-01,68.3083346486779,1.411046466268739,5.0044086675530235e-05,Satellite,radar,25.0,25.0,0
4,AAUSAT-II,2008-021F,2008-01-01,355.73822506873324,-0.1700901287481853,4.6487167619910536e-05,Satellite,cubesat,25.0,25.0,0
4,ASTRA 1D,1994-070A,1994-01-01,314.1171882044224,-0.1007453033188162,0.0002817858307909252,Satellite,communication,25.0,25.0,0
4,BEIDOU IGSO 2,2010-068A,2010-01-01,352.92169029922866,-0.19880610421877679,0.00028028079860665996,Satellite,navigation,25.0,25.0,0
4,CALSPHERE 4(A),1965-065H,1965-01-01,79.97624467597416,1.5365962240360778,5.0076398020415576e-05,Satellite,radar,25.0,25.0,0
4,COSMOS 2251 DEB,1993-036H,1993-01-01,143.65053694868996,0.7987151137322945,4.7908784861299436e-05,Satellite,debris,25.0,25.0,0
4,COSMOS 2407 [+],2004-028A,2004-01-01,122.11333326101095,1.2633066866998641,4.9264038644635046e-05,Satellite,navigation,25.0,25.0,0
4,COSMOS 2434 (721),2007-065A,2007-01-01,275.6820793496047,-1.1335664103726475,0.0001705113476534982,Satellite,navigation,25.0,25.0,0
4,DLR-TUBSAT,1999-029B,1999-01-01,161.25134166307018,0.7125563193334483,4.75092144798924e-05,Satellite,monitoring,25.0,25.0,0
4,FENGYUN 1C DEB,1999-025AA,1999-01-01,173.3288118203173,0.21439516998160485,5.6088070525957005e-05,Satellite,debris,25.0,25.0,0
4,FLOCK 2E-3,1998-067JA,1998-01-01,256.717872636342,-0.8650382769161107,4.4703425539222365e-05,Satellite,station,25.0,25.0,0
4,GLOBALSTAR M014 [-],1998-023A,1998-01-01,110.18004918707979,0.8588514571761693,5.4933230868132064e-05,Satellite,communication,25.0,25.0,0
4,GOES 5 [-],1981-049A,1981-01-01,42.011599686914536,0.1452760274376815,0.0002818477127105127,Satellite,monitoring,25.0,25.0,0
4,GORIZONT 5 [-],1982-020A,1982-01-01,231.8324269551012,-0.18087834212494572,0.00028578841219469004,Satellite,communication,25.0,25.0,0
4,GPS BIIR-6  (PRN 14),2000-071A,2000-01-01,250.9543952803074,-0.8862278106582812,0.00017831235967875455,Satellite,navigation,25.0,25.0,0
4,INTELSAT 805 (IS-805),1998-037A,1998-01-01,172.65368963005923,0.0014852356042567981,0.00028194476850275157,Satellite,communication,25.0,25.0,0
4,IRIDIUM 12 [+],1997-030B,1997-01-01,29.372863889197532,0.6393401968171294,4.7824820656702684e-05,Satellite,communication,25.0,25.0,0
4,IRIDIUM 33 DEB,1997-051P,1997-01-01,250.97692530568534,-1.3948501225100476,4.787493300615822e-05,Satellite,debris,25.0,25.0,0
4,METOP-B,2012-049A,2012-01-01,137.56293932162237,1.2059943112578224,4.8120109500263735e-05,Satellite,monitoring,25.0,25.0,0
4,MOLNIYA 2-13,1975-063A,1975-01-01,160.51931268580162,0.3873199992742866,0.00023789516740740718,Satellite,communication,25.0,25.0,0
4,NANOSAT-1,2004-049B,2004-01-01,327.4313417182487,-0.9791245118301619,4.697017593149688e-05,Satellite,communication,25.0,25.0,0
4,NNSS O-20 [?],1973-081A,1973-01-01,183.7597216103404,0.044234429460578914,5.0071890142982655e-05,Satellite,navigation,25.0,25.0,0
4,NOAA 5 [-],1976-077A,1976-01-01,141.3511706122679,1.1240927183579124,5.2807617826586635e-05,Satellite,monitoring,25.0,25.0,0
4,ORBCOMM FM10 [+],1997-084B,1997-01-01,162.33383980428687,0.2661454914233594,4.775431419360131e-05,Satellite,communication,25.0,25.0,0
4,ORSTED,1999-008B,1999-01-01,183.20807150971632,0.04159738883546651,4.818744415891875e-05,Satellite,scientific,25.0,25.0,0
4,RADIO ROSTO (RS-15),1994-085A,1994-01-01,187.71150405263413,-0.09169563712063464,5.7058715491209244e-05,Satellite,communication,25.0,25.0,0
4,RADUGA 5 [-],1979-035A,1979-01-01,226.87354601269817,-0.1401616411093984,0.0002818482430187976,Satellite,communication,25.0,25.0,0
4,SAPPHIRE,2013-009C,2013-01-01,76.07637549847638,1.6316973072630099,4.781524898932314e-05,Satellite,military,25.0,25.0,0
4,SL-8 R/B,1968-040B,1968-01-01,238.92805155442582,-1.0851243721901096,4.671603174565407e-05,Satellite,visual,25.0,25.0,0
4,STELLA,1993-061B,1993-01-01,316.21206817973086,-1.2006904044519615,4.7962010021696254e-05,Satellite,scientific,25.0,25.0,0
4,TDRS 7,1995-035B,1995-01-01,246.98145885468455,-0.24131379128201358,0.0002822907943048877,Satellite,monitoring,25.0,25.0,0
5,AFRISTAR,1998-063A,1998-01-01,286.33375115272395,-0.06431449517806574,0.0002842069325005974,Satellite,communication,25.0,25.0,0
5,BEIDOU IGSO 3,2011-013A,2011-01-01,353.4971788670051,-0.13652461633348767,0.00028083258288391004,Satellite,navigation,25.0,25.0,0
5,BRASILSAT B2,1995-016A,1995-01-01,172.17123745082387,0.01993253289774076,0.0002819244159988919,Satellite,communication,25.0,25.0,0
5,COSMOS 2251 DEB,1993-036J,1993-01-01,190.8040547180365,-0.20347429579803508,4.7905644431904984e-05,Satellite,debris,25.0,25.0,0
5,COSMOS 2414 [+],2005-002A,2005-01-01,14.256825381684312,0.2792203845374597,4.870281505741025e-05,Satellite,navigation,25.0,25.0,0
5,COSMOS 2436 (723),2007-065C,2007-01-01,307.9323555258539,-0.9533192534559115,0.00017035489741914806,Satellite,navigation,25.0,25.0,0
5,CXO,1999-040B,1999-01-01,30.039061857905605,0.5346108591199923,0.00017639821605901015,Satellite,scientific,25.0,25.0,0
5,DELFI-C3 (DO-64),2008-021G,2008-01-01,155.3082537778718,0.7630350147905001,4.635130689841711e-05,Satellite,cubesat,25.0,25.0,0
5,FALCONSAT-3,2007-006E,2007-01-01,323.0330896792715,-0.41277839837569047,4.5730031174657085e-05,Satellite,scientific,25.0,25.0,0
5,FENGYUN 1C DEB,1999-025AB,1999-01-01,162.7217878880238,0.5661345831589114,5.56751758008044e-05,Satellite,debris,25.0,25.0,0
5,FLOCK 2E-1,1998-067JD,1998-01-01,47.151359254804355,0.627123126331294,4.4808641117455615e-05,Satellite,station,25.0,25.0,0
5,GLOBALSTAR M006 [-],1998-023B,1998-01-01,191.30091456349555,-0.1687599762918365,5.518097943663831e-05,Satellite,communication,25.0,25.0,0
5,GOES 6 [-],1983-041A,1983-01-01,30.249412552457578,0.10308953769909357,0.00028187839028154965,Satellite,monitoring,25.0,25.0,0
5,GORIZONT 6 [-],1982-103A,1982-01-01,205.14753495065534,-0.0767478476958599,0.0002821329698960449,Satellite,communication,25.0,25.0,0
5,GPS BIIR-7  (PRN 18),2001-004A,2001-01-01,215.38896822823418,-0.5021623851285381,0.00018047047942870546,Satellite,navigation,25.0,25.0,0
5,GRACE-1,2002-012A,2002-01-01,19.81266565086588,0.3984224862814041,4.42440057566604e-05,Satellite,scientific,25.0,25.0,0
5,IRIDIUM 10 [+],1997-030D,1997-01-01,16.086129557305306,0.3083889227965195,4.7824115811847364e-05,Satellite,communication,25.0,25.0,0
5,IRIDIUM 33 DEB,1997-051Q,1997-01-01,261.4094972887467,-1.4770954205919566,4.7690903514471227e-05,Satellite,debris,25.0,25.0,0
5,JAS-2 (FO-29),1996-046B,1996-01-01,169.19456215926667,0.4588123705675321,5.1397475028139514e-05,Satellite,communication,25.0,25.0,0
5,MOLNIYA 2-14,1975-081A,1975-01-01,209.1621179327079,-0.5090929061989983,0.00024958449070761686,Satellite,communication,25.0,25.0,0
5,OAO 2,1968-110A,1968-01-01,278.12603028480726,-0.6065557395636537,4.757549161887981e-05,Satellite,visual,25.0,25.0,0
5,OPS 5712 (P/L 160),1967-053A,1967-01-01,272.09812011564713,-1.2199160576986245,4.752397689657093e-05,Satellite,radar,25.0,25.0,0
5,ORBCOMM FM11 [+],1997-084C,1997-01-01,101.93141529287547,0.7741906744703739,4.773787662607454e-05,Satellite,communication,25.0,25.0,0
5,QUIKSCAT,1999-034A,1999-01-01,104.20264778339997,1.6949565391729342,4.798866577190085e-05,Satellite,monitoring,25.0,25.0,0
5,RADUGA 6 [-],1980-016A,1980-01-01,53.98274317350515,0.16226507166086251,0.00028166578711752606,Satellite,communication,25.0,25.0,0
5,SAUDICOMSAT 7,2007-012C,2007-01-01,160.61216046738608,0.5736534300590725,4.7488691861583605e-05,Satellite,communication,25.0,25.0,0
5,TIROS N [P],1978-096A,1978-01-01,34.46919440208681,0.9293114907757768,4.8148974632315535e-05,Satellite,monitoring,25.0,25.0,0
5,TRANSAT [?],1977-106A,1977-01-01,352.3556352203312,-0.2867093561681215,4.970589440837443e-05,Satellite,navigation,25.0,25.0,0
5,UK-DMC 2,2009-041C,2009-01-01,233.2822820964301,-1.274078421153139,4.703755247460186e-05,Satellite,monitoring,25.0,25.0,0
6,AMSC 1,1995-019A,1995-01-01,327.2964675620367,-0.09963780708216825,0.00028176830339607075,Satellite,communication,25.0,25.0,0
6,BEIDOU IGSO 4,2011-038A,2011-01-01,208.67878420533035,-0.40631488896797674,0.00028315743291476916,Satellite,navigation,25.0,25.0,0
6,COSMOS 2251 DEB,1993-036K,1993-01-01,329.4101646231925,-0.6972368294834558,4.780323222246641e-05,Satellite,debris,25.0,25.0,0
6,COSMOS 2429 [-],2007-038A,2007-01-01,128.63818606400395,1.2051980043545392,4.930382579745405e-05,Satellite,navigation,25.0,25.0,0
6,COSMOS 2456 (730),2009-070A,2009-01-01,292.2202771686435,-1.0581633460555744,0.00017049663613210756,Satellite,navigation,25.0,25.0,0
6,FENGYUN 1C DEB,1999-025AC,1999-01-01,319.98012654339465,-1.120020472458682,4.9110736309288045e-05,Satellite,debris,25.0,25.0,0
6,FLOCK 2E-3,1998-067JG,1998-01-01,19.677683062776115,0.2579624217176737,4.468452256644022e-05,Satellite,station,25.0,25.0,0
6,GLOBALSTAR M015 [-],1998-023C,1998-01-01,188.18105214516424,-0.12649448182813794,5.552761309641972e-05,Satellite,communication,25.0,25.0,0
6,GOES 7 [-],1987-022A,1987-01-01,35.964009422449536,0.15486178794929045,0.0002823582628174757,Satellite,monitoring,25.0,25.0,0
6,GORIZONT 7 [-],1983-066A,1983-01-01,67.784470719596,0.22398554673023918,0.0002852824173203385,Satellite,communication,25.0,25.0,0
6,GPS BIIR-8  (PRN 16),2003-005A,2003-01-01,233.05401973290807,-0.7249288180175625,0.00017872003978464666,Satellite,navigation,25.0,25.0,0
6,INTELSAT 8 (IS-8),1998-065A,1998-01-01,15.52594839371703,0.006628145765602093,0.0002831800329423389,Satellite,communication,25.0,25.0,0
6,IRIDIUM 13 [+],1997-030E,1997-01-01,4.0266542733328885,-0.006972219409932166,4.782525463925973e-05,Satellite,communication,25.0,25.0,0
6,IRIDIUM 33 DEB,1997-051S,1997-01-01,58.59970060479152,1.2593117858881473,4.737419818514019e-05,Satellite,debris,25.0,25.0,0
6,ISIS 1,1969-009A,1969-01-01,271.55659117499863,-1.5432798680167454,5.526962635417693e-05,Satellite,visual,25.0,25.0,0
6,LARES,2012-006A,2012-01-01,304.04517951011286,-1.02132845356291,5.2265693919389176e-05,Satellite,scientific,25.0,25.0,0
6,MOLNIYA 1-32,1976-006A,1976-01-01,166.42038025485732,0.31048675292206435,0.0002601324463792777,Satellite,communication,25.0,25.0,0
